route_long_name,route_short_name,agency_id,route_id,route_type,route_desc,route_color,route_text_color
Megenegna Terminal ↔ Legedadi Mission,AB097,AA,10400029,3,,1779c2,ffffff
Megenagna Terminal ↔ Aba Kiros Roundabout,AB101,AA,10400258,3,,1779c2,ffffff
Megenegna Terminal ↔ Ayat Chefe Condominium,AB049,AA,10400405,3,,1779c2,ffffff
Ayat Chefe Condominium ↔ 6 Kilo,AB083,AA,10406491,3,,1779c2,ffffff
Kotebe Teachers College ↔ Piassa Arada,AB010,AA,10407732,3,,1779c2,ffffff
Piassa Arada ↔ Brass Clinic (Bole),AB009,AA,10410198,3,,1779c2,ffffff
Legehar (Old Train Station) ↔ Ayat Chefe Condominium,AB061,AA,10441511,3,,1779c2,ffffff
Shero Meda ↔ Bole Millenium,SH027,AA,10458768,3,,1779c2,ffffff
Shero Meda ↔ Abo Junction,SH028,AA,10460046,3,,1779c2,ffffff
Piassa Arada ↔ Abo Junction,SH016,AA,10460168,3,,1779c2,ffffff
Yeka Abado ↔ Megenagna,SH004,AA,10460407,3,,1779c2,ffffff
Autobis Tera (2) ↔ Alem Bank,SH010,AA,10460602,3,,1779c2,ffffff
Mexico ↔ Haile Garment,A10,AA,10460963,3,,1779c2,ffffff
Kara Kore ↔ Autobis Tera (1),SH040,AA,10461811,3,,1779c2,ffffff
Yerer Goro ↔ Megenagna,D26,AA,10465903,3,,1779c2,ffffff
Mexico ↔ Megenagna,A24,AA,10466290,3,,1779c2,ffffff
Piassa Arada ↔ Mebrat Condominium,C15,AA,10466725,3,,1779c2,ffffff
Sansusi ↔ Piassa Arada,C14,AA,10468435,3,,1779c2,ffffff
Gurara ↔ 4 Kilo,A08,AA,10469388,3,,1779c2,ffffff
Piassa Arada ↔ Dil Ber,C31,AA,10478792,3,,1779c2,ffffff
Shero Meda ↔ Autobis Tera (3),B37,AA,10479678,3,,1779c2,ffffff
Autobis Tera (1) ↔ Abo Junction,B19,AA,10480005,3,,1779c2,ffffff
Mexico ↔ Alem Bank,A09,AA,10480336,3,,1779c2,ffffff
Koye Feche ↔ Megenagna,D52,AA,10521543,3,,1779c2,ffffff
Summit Condominiums ↔ Megenagna Terminal,D25,AA,10521610,3,,1779c2,ffffff
Autobis Tera (2) ↔ Kela,B35,AA,10529108,3,,1779c2,ffffff
Saris Abo ↔ Ayer Tena,B40,AA,10529704,3,,1779c2,ffffff
Yeka Abado ↔ Piassa Arada,C51,AA,10533497,3,,1779c2,ffffff
Megenagna Terminal ↔ Aba Kiros Roundabout,D23,AA,10533758,3,,1779c2,ffffff
Mexico ↔ Lafto,A05,AA,10534180,3,,1779c2,ffffff
