trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
214,06:00:00,06:00:00,node/7123265056,1,,,,,
214,06:02:09,06:02:09,node/7123265055,2,,,,,
214,06:04:42,06:04:42,node/7123265054,3,,,,,
214,06:06:58,06:06:58,node/7123265053,4,,,,,
214,06:10:00,06:10:00,node/7123265052,5,,,,,
212,06:00:00,06:00:00,node/7122983964,1,,,,,
212,06:03:52,06:03:52,node/7122983963,2,,,,,
212,06:06:21,06:06:21,node/7122983962,3,,,,,
212,06:12:00,06:12:00,node/7122983961,4,,,,,
213,06:00:00,06:00:00,node/7123265066,1,,,,,
213,06:02:30,06:02:30,node/7123265065,2,,,,,
213,06:05:03,06:05:03,node/7123265064,3,,,,,
213,06:07:09,06:07:09,node/7123265063,4,,,,,
213,06:09:03,06:09:03,node/7123265062,5,,,,,
213,06:11:00,06:11:00,node/7123265061,6,,,,,
210,06:00:00,06:00:00,node/7123180290,1,,,,,
210,06:17:53,06:17:53,node/7123180286,2,,,,,
210,06:33:00,06:33:00,node/7123180289,3,,,,,
211,06:00:00,06:00:00,node/7122983970,1,,,,,
211,06:06:30,06:06:30,node/7122983969,2,,,,,
211,06:13:00,06:13:00,node/7122983968,3,,,,,
165,06:00:00,06:00:00,node/7056754516,1,,,,,
165,06:06:28,06:06:28,node/7037142484,2,,,,,
165,06:07:02,06:07:02,node/7037183485,3,,,,,
165,06:08:51,06:08:51,node/7037183498,4,,,,,
165,06:12:17,06:12:17,node/7037183507,5,,,,,
165,06:15:10,06:15:10,node/7055598734,6,,,,,
165,06:18:06,06:18:06,node/7074330409,7,,,,,
165,06:20:41,06:20:41,node/7077785209,8,,,,,
165,06:23:46,06:23:46,node/7037183567,9,,,,,
165,06:25:28,06:25:28,node/7077785208,10,,,,,
165,06:27:05,06:27:05,node/7077785207,11,,,,,
165,06:27:56,06:27:56,node/7037183563,12,,,,,
165,06:31:00,06:31:00,node/7022397421,13,,,,,
133,06:00:00,06:00:00,node/10886991029,1,,,,,
133,06:02:24,06:02:24,node/10886991028,2,,,,,
133,06:05:29,06:05:29,node/10886991025,3,,,,,
133,06:09:16,06:09:16,node/10886991027,4,,,,,
133,06:11:39,06:11:39,node/10886427071,5,,,,,
133,06:16:39,06:16:39,node/10886427070,6,,,,,
133,06:22:00,06:22:00,node/10886991026,7,,,,,
132,06:00:00,06:00:00,node/10886427069,1,,,,,
132,06:06:22,06:06:22,node/10886991036,2,,,,,
132,06:12:28,06:12:28,node/10886991035,3,,,,,
132,06:13:12,06:13:12,node/10886991034,4,,,,,
132,06:16:44,06:16:44,node/10886991033,5,,,,,
132,06:19:46,06:19:46,node/10886991032,6,,,,,
