trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
0,10400029,0,10399952,0,Megenagna Terminal
1,10400029,0,10399951,1,Legedadi Mission
2,10400258,0,10400257,0,Megenagna Terminal
3,10400258,0,10400256,1,Aba Kiros Roundabout
4,10400405,0,10400404,0,Megenagna Terminal
5,10400405,0,10400403,1,Ayat Chefe Condominium
6,10406491,0,10406489,0,Ayat Chefe Condominium
7,10406491,0,10406490,1,6 Kilo
8,10407732,0,10407730,0,Kotebe Teachers College
9,10407732,0,10407731,1,Piassa Arada
10,10410198,0,10410197,0,Piassa Arada
11,10410198,0,10410196,1,Brass Clinic (Bole)
12,10441511,0,15743389,0,Legehar (Old Train Station)
13,10441511,0,10406696,1,Ayat Chefe Condominium
14,10458768,0,10458767,0,Shero Meda
15,10458768,0,10458766,1,Bole Millenium
16,10460046,0,10460045,0,Shero Meda
17,10460046,0,10460044,1,Abo Junction
18,10460168,0,10460167,0,Piassa Arada
19,10460168,0,10460166,1,Abo Junction
20,10460407,0,10460406,0,Yeka Abado
21,10460407,0,10460405,1,Megenagna
22,10460602,0,10460600,0,Autobis Tera (2)
23,10460602,0,10460601,1,Alem Bank
24,10460963,0,10460961,0,Mexico
25,10460963,0,10460962,1,Haile Garment
26,10461811,0,10461810,0,Kara Kore
27,10461811,0,10461809,1,Autobis Tera (1)
28,10465903,0,10465902,0,Yerer Goro
29,10465903,0,10465901,1,Megenagna
30,10466290,0,10466288,0,Mexico
31,10466290,0,10466289,1,Megenagna
32,10466725,0,10466723,0,Piassa Arada
33,10466725,0,10466724,1,Mebrat Condominium
34,10468435,0,10535102,0,Sansusi
35,10468435,0,10468433,1,Piassa Arada
36,10469388,0,10469387,0,Gurara
37,10469388,0,10469386,1,4 Kilo
38,10478792,0,10478791,0,Piassa Arada
39,10478792,0,10478790,1,Dil Ber
40,10479678,0,10479676,0,Shero Meda
41,10479678,0,10479677,1,Autobis Tera (3)
42,10480005,0,10480003,0,Autobis Tera (1)
43,10480005,0,10480004,1,Abo Junction
44,10480336,0,10480334,0,Mexico
45,10480336,0,10480335,1,Alem Bank
46,10521543,0,10521541,0,Koye Feche
47,10521543,0,10521542,1,Megenagna
48,10521610,0,10521609,0,Summit Condominiums
49,10521610,0,10521608,1,Megenagna Terminal
50,10529108,0,10529106,0,Autobis Tera (2)
51,10529108,0,10529107,1,Kela
52,10529704,0,10529703,0,Saris Abo
53,10529704,0,10529702,1,Ayer Tena
54,10533497,0,10533495,0,Yeka Abado
55,10533497,0,10533496,1,Piassa Arada
56,10533758,0,10533757,0,Megenagna Terminal
57,10533758,0,10533756,1,Aba Kiros Roundabout
58,10534180,0,10534178,0,Mexico
59,10534180,0,10534179,1,Lafto
60,10534541,0,10534540,0,Shero Meda
61,10534541,0,10534539,1,Mexico
62,10534848,0,10534847,0,Piassa Arada
63,10534848,0,10534846,1,Marathon Motor (Megenagna)
64,10535103,0,10535101,0,Autobis Tera
65,10535103,0,10468434,1,Asko
66,10541125,0,10541124,0,Sefera
67,10541125,0,10541123,1,Mexico
68,10541371,0,10541370,0,Piassa Arada
69,10541371,0,10541369,1,Jemmo 2
70,10542001,0,10541999,0,Mexico
71,10542001,0,10542000,1,Jemo 1
72,10542096,0,10542094,0,Merkato
73,10542096,0,10542095,1,Ashewa Meda
74,10542241,0,10542240,0,Kera
75,10542241,0,10542239,1,Addisu Gebeya
76,10547202,0,10547201,0,Hanna Mariam
77,10547202,0,10547200,1,Legehar (Old Train Station)
78,10550063,0,10550062,0,Yeshi Debele
79,10550063,0,10550060,1,Autobis Tera
80,10550163,0,10550162,0,Winget
81,10550163,0,10550161,1,Ayer Tena (Terminal)
82,10550650,0,10550648,0,Tulu Dimtu
83,10550650,0,10550649,1,6 Kilo
84,10551230,0,10551229,0,Shegole (Mender 7)
85,10551230,0,10551228,1,Autobis Tera
86,10551231,0,10551227,0,Sansusi
87,10551231,0,10551226,1,Autobis Tera
88,10551605,0,10551604,0,Eyesus
89,10551605,0,10551603,1,Autobis Tera
90,10568476,0,10568475,0,Olympia
91,10568476,0,10568474,1,Agona Cinema
92,15625520,0,15487613,0,Ayer Tena
93,15625520,0,15487437,1,Piassa Arada
94,15633036,0,10667604,0,Total 3 Kuter Mazoria
95,15633036,0,15633035,1,Kera
96,15656246,0,15480652,0,German Square
97,15656246,0,15480612,1,Autobis Tera
98,15676211,0,10567916,0,Wello Sefer
99,15676211,0,10567917,1,Kera
100,15676212,0,10568346,0,Safari (Summit)
101,15676212,0,10568345,1,Megenagna
102,15676213,0,10715392,0,Kality Menaheriya
